                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 0.4241,                0.37416,                0.95145,                0.93372,                0.97174,                0.97863,                0.86368,                0.47615,                0.55519,                  1.049,              0.0016568,              0.0016568,              0.0016568
                     28,                0.43272,                0.38701,                0.95051,                0.90292,                      1,                0.98661,                  0.886,                0.46462,                0.51211,                 1.0195,              0.0016436,              0.0016436,              0.0016436
                     29,                0.42684,                0.37752,                0.94846,                0.89316,                0.86493,                0.95973,                0.83635,                0.53164,                0.57413,                 1.1094,              0.0016304,              0.0016304,              0.0016304
                     30,                0.39275,                0.33947,                 0.9421,                0.93158,                      1,                0.96214,                0.86313,                0.44517,                0.48988,                 1.0122,              0.0016172,              0.0016172,              0.0016172
                     31,                0.41237,                0.36248,                0.96207,                0.96629,                0.98867,                0.98267,                0.90917,                0.42177,                0.45519,                0.96585,               0.001604,               0.001604,               0.001604
                     32,                0.40532,                0.36167,                0.94111,                0.93481,                 0.9892,                0.98113,                0.86777,                0.43432,                 0.4181,                 1.0399,              0.0015908,              0.0015908,              0.0015908
                     33,                0.41127,                0.35873,                0.95534,                0.96505,                      1,                0.99067,                0.90912,                0.43523,                0.35101,                 1.0274,              0.0015776,              0.0015776,              0.0015776
                     34,                0.38772,                0.34777,                0.94347,                0.90543,                      1,                0.97502,                0.93078,                0.37397,                0.40418,                0.91055,              0.0015644,              0.0015644,              0.0015644
                     35,                0.38865,                0.33928,                0.93278,                0.93296,                      1,                0.98341,                0.90799,                0.38096,                0.39004,                0.95764,              0.0015512,              0.0015512,              0.0015512
                     36,                0.38274,                0.34865,                0.92787,                0.90576,                      1,                0.98467,                0.93369,                 0.3909,                0.40632,                0.97051,               0.001538,               0.001538,               0.001538
                     37,                0.37799,                0.33369,                0.92904,                 0.9334,                      1,                0.96299,                0.88587,                0.45428,                0.42254,                 1.0401,              0.0015248,              0.0015248,              0.0015248
                     38,                0.38368,                0.33444,                0.94816,                0.93343,                      1,                0.98855,                0.91581,                0.39914,                0.36458,                0.96447,              0.0015116,              0.0015116,              0.0015116
                     39,                0.37819,                0.32986,                0.92515,                0.93361,                      1,                0.99167,                0.93555,                0.36328,                0.36273,                0.96716,              0.0014984,              0.0014984,              0.0014984
                     40,                0.38623,                0.33781,                0.93587,                0.88524,                0.96552,                0.97748,                0.93243,                0.38502,                0.43771,                0.95471,              0.0014852,              0.0014852,              0.0014852
                     41,                0.37389,                0.32738,                 0.9279,                0.95743,                0.96552,                0.98962,                  0.911,                0.45831,                0.39824,                 1.0481,               0.001472,               0.001472,               0.001472
